Title,Tag(s),Template,Image,Post URL
Anything But Straightforward,"Hook, Story, Contreversial Initiative, Specific Obstacle","[Product/service/endeavour] was [initially faced specific obstacle].

[Share anecdote/more context that intensifies the challenge faced].",https://framerusercontent.com/images/BnDdfOXxF7DAzZ24t3p6Aguog.png,https://www.linkedin.com/posts/timferriss_the-4-hour-workweek-was-turned-down-by-26-activity-7151977698972618752-enN2?utm_source=share&utm_medium=member_desktop
More in Store,"Hook, Story, Goal Achieved, Reality Check","In [year], I [achieved goal or encountered significant life event].

([Statement that teases a realisation or perception change])",https://framerusercontent.com/images/gMFGfD5b7a4BSIxlkS6WVVrp09E.png,https://www.linkedin.com/posts/beatricevladut_in-2020-i-secured-an-internship-in-barcelona-activity-7188091746688348160-TALa?utm_source=share&utm_medium=member_desktop
Contrarian Approach,"Hook, Story, Contrarian Approach","[Provocative/contrarian approach or concept]:

[Surprising example that illustrates point].
",https://framerusercontent.com/images/AZ91l9DOxSTDmFLQNc4RjBPn4A.png,https://www.linkedin.com/posts/richardjamesmoore_richtips-sales-selling-activity-6593241664771420160-tbk2?utm_source=share&utm_medium=member_desktop
Transformative Insight,"Hook, Story, Personal Realisation, Transformative insight","It took me [long time period] to realise [share realisation/concept].

[Transformative insight].",https://framerusercontent.com/images/iyvNmQLgOJ4FR8s4W2KefRQ8VM.png,https://www.linkedin.com/posts/jennifer-a-welsh_took-me-35-years-to-appreciate-financial-activity-6963110223960014849-lFJK?utm_source=share&utm_medium=member_desktop
A Challenging Time,"Hook, Story, Personal Challenges, Initial Action","[Year/time period] was one of the most challenging times [I’ve/we/company] had. 

[Briefly describe the emotional toll]. [State specific challenge faced]. 

So I [action taken]. [Initial result].",https://framerusercontent.com/images/tXypxhjGZPzXhgB9aR5MFov8Akw.png,https://www.linkedin.com/posts/vedikabhaia_entrepreneurship-activity-7239957832572239872-iltS?utm_source=share&utm_medium=member_desktop
Decisive Actions,"Hook, Story, Life Decision, Quitting, Transformation Decision","[Time period] ago, I made a massive [life/business] decision.

I [initial action taken]. 

I [secondary action].

I [tertiary action].",https://framerusercontent.com/images/n1E82IAG2DaNDL5kaeAs82gHX7k.png,https://www.linkedin.com/posts/dakotarobertson_3-years-ago-i-made-the-biggest-decision-activity-7148296976495767552-Msep?utm_source=share&utm_medium=member_desktop
The Gamechanger,"Hook, Story, Life Changing Impact, Mentor, Opportunity","This [person/mentor/leader] had a profound impact on my life. Recently, they [offered me a great opportunity]. 

([Personal aside]) 

Here’s what happened:",https://framerusercontent.com/images/lLQGksyj176mERRSEA55JRD2vhM.png,https://www.linkedin.com/posts/ehlimana-kurgas_this-man-changed-my-life-and-now-he-hired-activity-7138859810376110080-c2Eg?utm_source=share&utm_medium=member_desktop
A Gift Gone Wrong?,"Hook, Story, Unusual Event","So this [time period] I gave [individual] a [thoughtful/unusual gift or item], but when [they interacted with it], [something unexpected happened].

Interestingly…",https://framerusercontent.com/images/9DC2unl1h2JuHSAl72753baOXGQ.png,https://www.linkedin.com/posts/mralexmerry_brand-inclusion-chocolate-activity-6876864325395517440-qrZw?utm_source=share&utm_medium=member_desktop
Meet This Impressive Individual,"Hook, Story, Role Model, Incredible Individual, Growth Story ","Meet the [unique individual or role] [doing something extraordinary]: A [person/individual] who [achieved impressive milestone or accomplishment] in [short time frame]. 

How’d they do it? 

A mix of [two key skills, traits, or strategies]. 

Here’s the story:",https://framerusercontent.com/images/RM4Eki5X7tMOiBsW6OgfRLMg8I.png,https://www.linkedin.com/posts/nathan-baugh_meet-the-incredible-entrepreneur-masquerading-activity-7051544652709068800-_-Q0?utm_source=share&utm_medium=member_desktop
Hard-Won Lessons,"Hook, Story, Origin Story, Growth Milestones, Hard Won Lessons ","When I [prior action], I [describe humble beginning or early challenge]. 

[Time period] later, I [describe a major milestone or achievement]. 

Here are X tough lessons I’ve learned along the way:",https://framerusercontent.com/images/daXOF0nyQzrEoXTV7K22KhesA.png,https://www.linkedin.com/posts/nicolascole_when-i-graduated-from-college-i-moved-into-activity-6917899312102330368-D7Ts?utm_source=share&utm_medium=member_desktop
The Work Involved,"Hook, Story, Building A Product, Tough Reality","I’ve [taken significant action] for the past [time frame] to build [project/course/product]. 

(This is tough as [personal constraint or responsibility]).",https://framerusercontent.com/images/orxnr2BvvIlsGPlBTE8HKbkME.png,https://www.linkedin.com/posts/katebour_ive-worked-10-hour-days-for-the-last-4-activity-7255561177122926593-e3bf?utm_source=share&utm_medium=member_desktop
Hidden Barrier To Success,"Hook, Story, This Matters, Career Journey, Career Sucess","[Seemingly small detail] does matter.

Early in my [journey], I struggled to [achieve goal]. [Primary barrier that held you back].",https://framerusercontent.com/images/52LoBxamZtu9E6lFuZmq7Jd41g.png,https://www.linkedin.com/posts/brianna-doe_titles-do-matter-early-in-my-career-i-activity-7160295572136988672-1z4c?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAHGu78BooOlA373hqf0v-CL8ROOwyk4FCw
A Costly Mistake,"Hook, Story, Specific Time Ago, Critical Mistake, Impact of  Mistake","[Time period] ago, I [made a critical mistake]. It was [negative adjective].

This mistake meant [key negative consequence].",https://framerusercontent.com/images/g1SlfDAesc4wMvjbHdimLG5LE.png,https://www.linkedin.com/posts/timcdenning_4-years-ago-i-accidentally-sent-the-wrong-activity-7243216092842655745-vZhL?utm_source=share&utm_medium=member_desktop
When Reality Sets In,"Hook, Story, Specific Time Ago, Quittting, Life Change, Career Path, Reality of New Direction","[Timeframe] ago, I [made a major life change].

At first, I felt [positive emotion]. 

But as someone who [personal trait], that feeling quickly turned into [unexpected reaction].",https://framerusercontent.com/images/0PUSxtzFZ2fThjVwaetQstj7xk.png,https://www.linkedin.com/posts/dickiebush_6-weeks-ago-i-quit-my-full-time-job-and-activity-6924695461261938688-iCSh?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEM8cusBt47cGi2fDUuWn6AvREjPf1rAF-0
A Chance Encounter,"Hook, Story, Image, Chance Encounter, Notable Person, Unexpected Opprtunity ","Had the pleasure of [unexpected opportunity] with [notable person]. 

It was a fortunate encounter: 

I was [describe planned circumstance]. And by chance, [unexpected event happened].",https://framerusercontent.com/images/CGuu7eOOp4uqsYJCyYMnybLeTjQ.png,https://www.linkedin.com/posts/sahilbloom_had-the-pleasure-of-chatting-about-living-activity-7285383033967280129-En4H?utm_source=share&utm_medium=member_desktop&rcm=ACoAABpphAoBLXXJfcoY-YZc7Pwm3Irp_Z9_8Yg
"A Bold, Surprising Move","Hook, Story, Image, Career Peak, Notable Person, Shock Announcement, Career Changing Decision","At the peak of [success], [notable person or group] shocked the [world/industry] with an announcement: 

They were [making an unexpected or surprising
decision].",https://framerusercontent.com/images/aNjCb4lTINqGRLG5erp2rJZy8hs.png,https://www.linkedin.com/posts/joe-gannon_at-the-peak-of-her-career-creatorentrepreneur-activity-7163079358675419136-wM3-?utm_source=share&utm_medium=member_desktop
"Simple Idea, Massive Outcome","Hook, Story, Image, Specific Time Ago, Merger of Main Players, Specific Hire, First Meeting, Iconic Outcome","In [year], [two major entities/individuals] came together. 

They hired [expert] to [carry out task]. 

In their first meeting, [unexpected moment] led to [what became an iconic outcome].",https://framerusercontent.com/images/7nOeu2g9HvutJkCTvXU1EA2Y4gw.png,https://www.linkedin.com/posts/billy-oppenheimer-70612782_in-1998-citibank-and-the-travelers-insurance-activity-7079500034395824130-Ibjl?utm_source=share&utm_medium=member_desktop
Against My Better Instincts,"Hook, Story, Specific Time Ago, Routine Activity, Questionable Choice","[Time period] ago, I was [doing a routine activity]. I probably should’ve [made a different choice], but [reason for making decision or taking risk]. 

I even remember thinking as I [specific action], “[Thought that crossed your mind].”",https://framerusercontent.com/images/TH7Vi3svBBQywYxTPM0Q3i2LZQI.png,https://www.linkedin.com/posts/ryanholiday_a-few-weeks-ago-i-was-running-early-in-the-activity-7176610409133563904-WXyC?utm_source=share&utm_medium=member_desktop
The Addiction,"Hook, Viral, Unhealthy Addiction, Remedy","I used to have an unhealthy obsession with:

[Simple, relatable habit].

It would [negatively impact][aspect of life/work], until I discovered: …
",https://framerusercontent.com/images/6lBed4tyXGz5nsn50bf86tFXAk.png,https://www.linkedin.com/posts/dickiebush_i-used-to-have-one-severe-addiction-planning-activity-7178367406048763905-aGfK?utm_source=share&utm_medium=member_desktop
Hack to the Top,"Hook, Viral, Growth Hack, Simple Tip ","How I [took an unconventional path to achieve desirable outcome]:

(This [actionable insight/tip] [unlocked result/transformation]).
",https://framerusercontent.com/images/aR5krkfkVHJpQp8kh3RNo46xzWw.png,https://www.linkedin.com/posts/laraacostar_how-i-hacked-my-way-into-the-top-1-this-activity-7092104832857042944--dzk?utm_source=share&utm_medium=member_desktop
Never Again,"Hook, Viral, Modern Day CV, Untraditional Approach","I'm done with [traditional or commonly accepted practice]. 

Every time I [engage in this practice], [describe the negative outcome or 
reaction].",https://framerusercontent.com/images/WWDgHeevm1hYX7NuHJiSkqfIQLg.png,https://www.linkedin.com/posts/tasleemahmadfateh_job-linkedin-linkedincreator-activity-6962285714260516864-lKEN?utm_source=share&utm_medium=member_desktop
"It’s Not About X, It’s About Y","Hook, Viral, Common Practice, Mental Reframe","[Common belief or practice] isn't about [traditional focus/parameters].

It's about [deeper purpose or impact].
",https://framerusercontent.com/images/vlO7D6cLIIo57tt8e5J0veGEfPE.png,https://www.linkedin.com/posts/charlesmiller-pbb_writing-isnt-about-grammar-and-spelling-activity-7084498458136469504-aeuO?utm_source=share&utm_medium=member_desktop
I Just Knew,"Hook, Viral, Dramatic Event","I knew [dramatic negative outcome would occur] 

the moment [trigger event].",https://framerusercontent.com/images/CeGVWCXsjML0ko3bykeRjuBZ4U.png,https://www.linkedin.com/posts/leilahormozi_success-comfort-habits-activity-7026587853975412736-nx2c?utm_source=share&utm_medium=member_desktop
Hard-Won Lessons,"Hook, Viral, Significant Investment, Lessons Learnt",It took [significant time/effort/resource investment] to learn these X lessons: …,https://framerusercontent.com/images/S2xIV76n5RcJvP0oNmYgAbPNo4.png,https://www.linkedin.com/posts/taylin-john-simmonds_11-lessons-activity-6999004803527831552-rBrO?utm_source=share&utm_medium=member_desktop
How To (Really) Do It,"Hook, Viral, Popular Product, Tips for Correct Use, ","All [industry pros] know about [popular tool or concept], but only [small percentage] really know how to use it.

Here are X [strategies/tips] to help you [achieve desirable outcome]: …",https://framerusercontent.com/images/eBNNCjzMFDhGodaKMjdvRupMU.png,https://www.linkedin.com/posts/chasedimond_everyone-knows-about-chatgpt-but-only-001-activity-7020421909733392385-7nTu?utm_source=share&utm_medium=member_desktop
A Superior Method,"Hook, Viral, Common Practice, Alternative Method","[Common belief or practice] [negative consequence]. 

Here’s the [notable method] [famous individuals or groups] use
instead:",https://framerusercontent.com/images/LBEknKDFIaxaMzgkG73SUmxWCvw.png,https://www.linkedin.com/posts/christianpoensgen_to-do-lists-kill-your-productivity-activity-7115665582321999872-FBSO?utm_source=share&utm_medium=member_desktop
My Takeaways,"Hook, Viral, Company Role, Lessons Learnt","I had a great time working for [Company/Organization].

Here are X [insights/lessons/learnings] I’ve picked up along the way:",https://framerusercontent.com/images/iTOlh5XCmzScxtR7uWa6urX8zug.png,https://www.linkedin.com/posts/kieranjflanagan_i-had-a-blast-working-for-zapierfinished-activity-7190692953084866562-hNYP?utm_source=share&utm_medium=member_desktop
Impactful Advice,"Hook, Viral, Unusual habit, Lifechanging Habits","[Unusual habit/action] solves [high percentage of major problem].

X more [simple/quick/easy] [habits/actions] to [improve/change a specific situation]:",https://framerusercontent.com/images/3zKWxBwLnYGqd0RYlI49QspWrs.png,https://www.linkedin.com/posts/codiesanchez_waking-up-at-545am-solves-999-of-daily-activity-7137440523455238144-TKLd?utm_source=share&utm_medium=member_desktop
Simple Steps,"Hook, Viral, Winning Strategy, Timesaving Process","X [easy/simple/quick] steps to [achieve impressive result] in [short time frame]—even if you [face common obstacle]:

For context:

I took [long time period] to [achieve similar result] for the first time.",https://framerusercontent.com/images/L5KZu4YOz2wCzQ7nVKQXErp5bg.png,https://www.linkedin.com/posts/nicolascole_5-dead-simple-steps-to-write-a-60000-word-activity-7175467966975619072-ylXZ?utm_source=share&utm_medium=member_desktop
Industry Issues,"Hook, Viral, Industry Problems, Statistical Evidence","X huge issues we're dealing with in [industry/profession] today:

[Specific problem] → [Striking statistic or fact].",https://framerusercontent.com/images/WLNLfV0qHZji1DYQgV2zUQQv6xA.png,https://www.linkedin.com/posts/amandanat_in-a-nutshell-here-are-the-huge-problems-activity-7197278523311415296-Bjb-?utm_source=share&utm_medium=member_desktop
Enlightening Enquiry,"Hook, Viral, Content Strategy, Reflective Account","If you can answer these X questions, you have a [desirable outcome/asset].

1. [First question]? ([Explanation/qualifier])",https://framerusercontent.com/images/zTpuvMk18Rh8jWGzpIKOn1fmZhM.png,https://www.linkedin.com/posts/jesscook-contentmarketing_if-you-can-answer-these-6-questions-you-activity-7137801745128194049-AiW5?utm_source=share&utm_medium=member_desktop
Time-Saving Process,"Hook, Viral, Timesaving Process, Impressive Outcome",To save [time frame] learning [skill] here’s my X-step [process/method] (I've [reached goal/impressive metric] using this):,https://framerusercontent.com/images/KssnAyuuxZE8LAn2Kr9OSfoHTzM.png,https://www.linkedin.com/posts/mattjbarker1_copy-my-3-step-linkedin-writing-process-activity-7091386617420005376-UxaV?utm_source=share&utm_medium=member_desktop
X is a Euphemism for Y,"Hook, Creative, Common Belief, Humerous Reality","""[Common statement or belief]"" is usually code for ""[Cynical or humorous reality].""",https://framerusercontent.com/images/GVBFKRI3Wd30jhpGzjyan1IsAY.png,https://www.linkedin.com/posts/jayacunzo_were-hiring-a-head-of-marketing-is-usually-activity-7148392152719380481-XkLa?utm_source=share&utm_medium=member_desktop
Choose or be Chosen,"Hook, Creative, Specific Action Required For Specific Result","If you don’t [take specific action], don’t expect [desirable outcome].

If you don’t [take specific action], don’t expect [desirable outcome].

If you don’t [take specific action], don’t expect [desirable outcome].",https://framerusercontent.com/images/H2nLM9DggCjy2QMCmJHpSZ1pc.png,https://www.linkedin.com/posts/thedankoe_the-daily-routine-that-changed-my-life-4-activity-7132013464293670912-Xic1?utm_source=share&utm_medium=member_desktop
You Need to Read This (Today),"Hook, Creative, Reason For Lack Of Progress, Steps Toward Progress",Here's WHY you haven't [achieved a desired goal] yet (and [X steps] you can take today to get started): …,https://framerusercontent.com/images/evv9rPKOxMeQKcY2cSOxcesM1M.png,https://www.linkedin.com/posts/alexcattoni_heres-why-you-havent-started-freelancing-activity-7154879106055045120-NMmY?utm_source=share&utm_medium=member_desktop
Advice from the Sidelines,"Hook, Creative, Sector Experience, Sector Learnings","No one knows [field or skill] better than [unexpected group]. 

I have [time period or impressive results] in/from this game. 

Here's who really knows [field or skill] best: …
",https://framerusercontent.com/images/Jt0DBRBiljY9Htcbd4mq0ZtYaxU.png,https://www.linkedin.com/posts/thecopycrusade_copywriting-marketing-henrygotheadlines-activity-7163956111409045504-rwXw?utm_source=share&utm_medium=member_desktop
Life Learnings,"Hook, Creative, Celbrating Birthday, Life Learnings","I turn [your ideal age] + [difference between your ideal and actual ages] today. 

As I [express a humorous sentiment about age], here are [age formula from above] [things/lessons/tips] I’ve picked up along the way to [achieving desirable outcome]: …",https://framerusercontent.com/images/xGQKxENbSeqz9rEhL4rWOneCv4.png,https://www.linkedin.com/posts/eczachly_mentalhealth-activity-7158146153870483456-vJ4t?utm_source=share&utm_medium=member_desktop
Demystifying Terms,"Hook, Creative, Complex Concept, Shared Confusion","What the hell is [complex term or concept]? 

Don’t worry, you’re not alone.

[Topic or subject] can be confusing.",https://framerusercontent.com/images/PEl5BAXxppSzeXVH64Xix9ZqHkE.png,https://www.linkedin.com/posts/rory-flynn-ai_ultimate-beginners-guide-to-midjourney-prompt-activity-7087535079337455616-weEH?utm_source=share&utm_medium=member_desktop
So Much For Semantics,"Hook, Creative, Common Misconception, Clarifying Terms","""[Concept A], [Concept B], or [Concept C]? 

Many people think they're [common misconception].

So what's the difference?",https://framerusercontent.com/images/SGiRrpujXgPnE6pflkIzIXYRNHc.png,https://www.linkedin.com/posts/saralattanzio_marketing-contentmarketing-socialmediamanagement-activity-6945745023820808193-UMzX?utm_source=share&utm_medium=member_desktop
The Gut Punch,"Hook, Image, Hardhitting Reality","After chatting with [Person’s Name], I can’t get this idea out of my head...

“[Counter-intuitive idea].”",https://framerusercontent.com/images/YxpwwaVmSR6crYIzTrEUA78lD98.png,https://www.linkedin.com/posts/codiesanchez_this-is-the-lazy-version-of-financial-freedom-activity-7155922358434742274-lt72?utm_source=share&utm_medium=member_desktop
Choose Your Hard,"Hook, Image, Easy, Hard, Harder","[Concept 1] is easy.

[Concept 2] is difficult.

[Concept 3] is near-impossible.",https://framerusercontent.com/images/3skeVA8kitvAjr8rWDXS0AawwVI.png,https://www.linkedin.com/posts/justinwelsh_the-truth-about-your-great-business-idea-activity-7259184597861560320-5P2e?utm_source=share&utm_medium=member_desktop
All You Really Need,"Hook, Image, Challenging Common Belief","Forget about [common belief].

Focus on [achievable goal] and [actionable advice].",https://framerusercontent.com/images/nP3pos3fedqaKeKiatP92OZmM.png,https://www.linkedin.com/posts/mattjbarker1_if-you-learn-copywriting-you-write-better-activity-7128002759785615360-LjFG/?utm_source=share&utm_medium=member_desktop
Reality Check,"Hook, Image, Stop Doing This, Reality Check","Dear [Target Audience],

Stop [common but incorrect action or saying].

[Contrasting reality].

All the best,[Specific group – e.g. Marketers]",https://framerusercontent.com/images/ETdz0FzrDrMhcHdovfz12eXOl8.png,https://www.linkedin.com/posts/eric-partaker-5560b92_family-is-a-term-often-tossed-around-in-activity-7274404165148168192-OWdL?utm_source=share&utm_medium=member_desktop
"If You Want X, Do Y","Hook, Image, If You Want This, Do This, Relatable Proverb","If you want [desirable outcome A], [recommended action A].

If you want [desirable outcome B], [recommended action B].

If you want [desirable outcome C], [recommended action C].

[Saying/proverb that ties it all together].",https://framerusercontent.com/images/jgSfvyWpmko7r0RDK1iTu0EhgA.png,https://www.linkedin.com/posts/charlesmiller-pbb_just-make-the-ask-getting-a-no-hurts-activity-7164241530046631936-J5XU?utm_source=share&utm_medium=member_desktop
