Title,Tag(s),Template,Image,Post URL
How to celebrate a win (without bragging),"Post, Text, Image, LinkedIn Growth Story, Copywriting Advice","I [started engaging with specific action] on [date]. 

At first, I [briefly list common experiences/initial failures/struggles].

[X years/months] later, I’ve [sustained a specific level of effort].

This has led to [positive impacts/results].

I’m grateful to know my work offers [specific value] to others.

Special thanks to [Organization/Individual] for [Specific Recognition].

If you’re just getting going or on a similar path, remember: 

[Motivational advice].

You won’t regret [engaging in specific action] and [impacting others].

Here’s a [resource/tip] to help you get started: [Link]

[Image that matches the post]
",https://framerusercontent.com/images/Q8XOGgSIjrguyHMzgUJtaacJU8A.png,https://www.linkedin.com/posts/justinwelsh_i-wrote-my-first-linkedin-post-october-30th-activity-7172925913066524673-fmhx?utm_source=share&utm_medium=member_desktop
“Pssst…Wanna know a secret?”,"Post, Text, Secrets To Success, Challenging common Beliefs, Actionable Advice","People ask me how I [achieved desirable outcome] so quickly.

My secret? 

I [daily action].

People ask me how I [achieved desirable outcome].

My secret? 

I [daily action].

People ask me how I [achieved desirable outcome].

My secret? 

I [daily action].

But the truth is…

There is no secret, just [core principle].

To [achieve key desirable outcome], you have to [high-level advice].

Here are [X steps/tips/strategies/questions] to get you started:

[Step/Tip/Strategy/Question]

[Step/Tip/Strategy/Question]

[Step/Tip/Strategy/Question]

[Step/Tip/Strategy/Question]

[Step/Tip/Strategy/Question]

Want to [Attain desirable role/outcome]?

[Conduct specific daily action]

Remember, showing up daily is what separates [desirable group] from the rest.

Start today.",https://framerusercontent.com/images/JkVaOJNp5DYKaLEgZlFzFCCk6U.png,https://www.linkedin.com/posts/abelcak_people-ask-me-how-i-grew-on-linkedin-so-quickly-activity-6836646027500638209-SviB?utm_source=share&utm_medium=member_desktop
What PROMISE are you making to the reader?,"Post, Text, Image, Helping Others, Networking, Win-Win","I [achieved remarkable outcome] [through unexpected means].

[X years/months] ago, I [met/supported someone] at [event/scenario].

They’re also [role/accomplishment/recognition].

[Short time period ago], I reached out to them because:

I [related struggle]

I [related struggle]

I [related struggle]

This led to:

[Positive individual/shared outcome]

[Positive individual/shared outcome]

[Positive individual/shared outcome]

Which later led to [remarkable outcome].

And it all stems from [relevant details from initial encounter].

All this has taught me [valuable lesson] in [specific context].

[Sum up core message/lesson].

[Image that matches the post]",https://framerusercontent.com/images/7itlGbS2pExtFEAFir2OjS6K80.png,https://www.linkedin.com/posts/laraacostar_i-got-featured-in-forbes-without-even-asking-activity-7155899568532910080-cJ2F?utm_source=share&utm_medium=member_desktop
Pair your advice with credibility elements,"Post, Text, Image, Rules For Success, Building Credibility ","[Name of Rule/Wisdom]:

[Context] is tough. [Setbacks] happen. 

Ensure your next action aligns with your goals.

[Experienced specific setback]? [Respond with positive related action].

[Experienced specific setback]? [Respond with positive related action].

[Experienced specific setback]? [Respond with positive related action].

[Share relevant quote/wise advice]

[Reiterate Rule/Wisdom as practical takeaway]

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/wvbDHzAXptubAeCMdXXpDnei7I.png,https://www.linkedin.com/posts/danfounder_the-best-rule-to-adopt-is-to-never-miss-twice-activity-7172796913384194049-NBDE?utm_source=share&utm_medium=member_desktop
Are you making this mistake?,"Post, Text, Common Mistake, Do This Instead ","[High number]% of [digital asset/group] make this mistake:

Did you know by [following common practice], you are actually [eliciting negative outcome]?

Try/Think about it like this instead:

[Step/tip/intended use]

[Step/tip/intended use]

[Step/tip/intended use]

(but this won’t happen if [negative outcome])

The goal is [desired outcome], not [undesirable outcome].",https://framerusercontent.com/images/dk1TDJEdKjsoC978mvYK8hbRmcs.png,https://www.linkedin.com/posts/alicjasmin_90-of-linkedin-profiles-make-this-mistake-activity-7171467111142215680-X6R1?utm_source=share&utm_medium=member_desktop
How to create “valuable” content,"Post, Text, How To Hit Goals, Proven System, High Level Strategy","[Specific quantifiable goal]/[short timeframe] = [Specific quantifiable goal] in [long timeframe]

That's the goal. 

To get there, you can either:

[Method A]

[Method B]

Just carry out these daily tasks:

[Daily strategic task 1]

[Daily strategic task 2]

[Daily strategic task 3]

Here’s an example of what that looks like:

[Specific example of “daily strategic task 1”]

[Specific example of “daily strategic task 2”]

[Specific example of “daily strategic task 3”]

Now all you have to do is [additional action] and you [achieve desirable outcome].

As you progress, incorporate:

[Less frequent action 1]

[Less frequent action 2]

[Less frequent action 3]

Following this exact [Strategy Name] for [time period] has helped me [unlock benefit] and [unlock additional benefit].

It’s more effective than [alternative strategy].",https://framerusercontent.com/images/cFlIfceWfZ7zeREylMVwhO2eJY.png,https://www.linkedin.com/posts/thedankoe_8336month-6-figures-per-year-thats-activity-7016436466213949441-btOG?utm_source=share&utm_medium=member_desktop
Why you should give more examples,"Post, Text, Image, Common Problem, Research Findings, Specific Solution","[Startling fact or statistic]

But why [relevant question/problem]?

Introducing [concept or phenomenon].

Research shows:

[Summarize key findings and/or expert opinions].

The main reason for this is [explain reason in simple terms]. 

It's like when [relatable example].

So, what can we do? 

[Introduce specific solution].

[Briefly explain why it works and the expected outcome].

So next time you find yourself in [common situation], remember [concept or phenomenon] and the importance of [actions related to solution].

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/BOFYd3waf51w0N9yt2nvhAvJ2Fo.png,https://www.linkedin.com/posts/nireyal_why-do-tasks-always-seem-to-take-longer-than-activity-7137440438939959297-XIUB?utm_source=share&utm_medium=member_desktop
How to fix BROKEN thinking,"Post, Text, Image, Common Misconception, Harsh Truths, Specific Solution, Mental Reframe","Why does [specific audience] face [common problem]?

Because they believe [common misconception].

Here’s my [unique strategy] to help you [unlock desirable outcome]:

The reality is, [summarise why the problem exists].

The secret lies in [specific solution].

Benefits of this approach include:

[Benefit 1]

[Benefit 2]

By adopting [specific strategy], you eliminate [specific problem] and [unlock desirable outcome].

Here’s how to think about it:

[Mental reframe/tip]

[Mental reframe/tip]

[Mental reframe/tip]

So when you [plan your strategy], here are [X] things to consider:

[Strategic component 1]

[Strategic component 2]

[Strategic component 3]

[Strategic component 4]

[Strategic component 5]

Here’s an example:

Instead of [common approach], try this:

[Strategic component 1 - example]

[Strategic component 2 - example]

[Strategic component 3 - example]

[Strategic component 4 - example]

[Strategic component 5 - example]

[Expand on why this method unlocks desirable outcomes].

[Image that matches the post]",https://framerusercontent.com/images/N25U22zvKcqnO3kbIvzTukiX65I.png,https://www.linkedin.com/posts/nicolascole_why-do-95-of-freelance-writers-have-wildly-activity-7170776235525025793-Sh3y?utm_source=share&utm_medium=member_desktop
Here’s a reality check for ya! ,"Post, Text, Unrealistic Expectation, Harsh Truths ","“[Industry/Role], [unrealistic request].”

X things [Industry/Role] can't fix:

1.  [Common misunderstanding 1] - [Harsh truth].

2. [Common misunderstanding 2] - [Harsh truth].

3. [Common misunderstanding 3] - [Harsh truth].

[Industry/Role] can achieve [positive outcome]. 
But it can't [meet unrealistic expectations].

Please remember this.",https://framerusercontent.com/images/OarSPYbR7TC4xEGJEGKO79o5hII.png,https://www.linkedin.com/posts/saralattanzio_marketing-customerservice-b2bmarketing-activity-6862346804302766080-zcFO?utm_source=share&utm_medium=member_desktop
How to champion a hero in a brand’s success story,"Post, Text, Image, Brand Success Story, Strategic Pivot, Business challenges","[Brand's success story] is a testament to [key strategy]. [Impressive metric].

Let's dive into the journey:

During [time period], [Brand] was at the peak of its game. 

[Mention specific achievement].

Their strategy was simple: [Original strategy].

This approach worked great… 

Until [specific industry shift] led to [bad outcome].

By [date], [low point occurred].

[Brand] decided to pivot.

[Team/Business unit] doubled down on [alternative strategy] after they realised [key realisation].

They implemented:

1. [Solution 1]
2. [Solution 2]
3. [Solution 3]

The outcome? [Brand]'s renaissance is a story of [relevant lesson]

Many companies face [common challenge] because of [industry shift].

[Brand]'s story shows the importance of [summarise solution].

Now, [Brand] stands as a beacon of [achieved goal], with [success metric].

[Image that matches the post]",https://framerusercontent.com/images/lF7LPrgkn8nsS2qWLvpy7ZanPZk.png,https://www.linkedin.com/posts/alex-garcia-294119159_abercrombies-rebrand-is-a-miracle-the-stock-activity-7095430625582538752-rcTX?utm_source=share&utm_medium=member_desktop
Empower your reader to think differently,"Post, Text, Image, Suprising Statistic, Mental Reframe, Unconventional Goals","Only [a small fraction] of [specific initiatives/individuals] [achieve desirable outcome].

You don’t have to follow [typical definition of success].

Define what success looks like for you.

Something you can look back on in [time period] from now with pride.

Perhaps that’s [typical definition of success].

Or [alternative definition of success A].

Or even [alternative definition of success B].

Whichever path you choose, you’re the one who decides.

[Personal sign-off/Call to action]

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/y51rlPTBM9nlpYrVVfjlgbjjt7k.png,https://www.linkedin.com/posts/nealogrady_only-0001-companies-get-sold-for-big-money-activity-7070774044907737088-ri9W?utm_source=share&utm_medium=member_desktop
“You’ve been lied to. Here’s the truth…”,"Post, Text, Misguided Belief, Harsh Truth, ","[Specific harsh truth].

[Necessary action/belief] is essential to [achieve desirable outcome].

Whether that's [example 1 of action to take], or [example 2 of action to take].

If you don't [take recommended action], [negative consequence].

""[Common but misguided belief]""

[Statement that rejects belief].

The truth is [impact of maintaining misguided belief].",https://framerusercontent.com/images/I17qz334yY8iu1YydlQpWmN6Vs.png,https://www.linkedin.com/posts/courtneylynnjohnson_nobody-is-coming-to-discover-you-self-promotion-activity-6970728081942528001-oHN1?utm_source=share&utm_medium=member_desktop
“Hot off the press! Here’s what you need to know…”,"Post, Text, Image, New Product Announcement, Product Features Breakdown","BREAKING: [Short time period ago], [High-profile person/company/collaboration] revealed [new product/service/news]

Here’s what you need to know:

1. [New feature/development] 

[Brief explanation/benefits/comparisons/opinion]

2. [New feature/development] 

[Brief explanation/benefits/comparisons/opinion]

3. [New feature/development] 

[Brief explanation/benefits/comparisons/opinion]

My thoughts: [share opinions/additional insider insights]

More updates to come.

[Relevant call to action – e.g. Subscribe, follow, sign-up]

[Image that matches the post]

",https://framerusercontent.com/images/4cpEqsaTyvB3TEzskuE4nv0e5s.png,https://www.linkedin.com/posts/rowancheung_breaking-overnight-elon-musk-and-xai-activity-7126589617985785856-Omis?utm_source=share&utm_medium=member_desktop
How to boost your authority by association,"Post, Text, Image, Networking, Collaboration, Authority By Association","[Short time period ago], I [met/achieved significant milestone with] [description of the person – e.g. a rising star in the tech industry]

We first connected in [initial meeting context] in [year].

Both of us [description of initial common ground – e.g. aspiring entrepreneurs].

[Share an amusing anecdote or notable interaction during the early stages].

[Give any further context]

We reconnected and [what happened next].

Then, [describe a turning point or notable event/interaction].

To date, we [list shared accomplishments].

And [short time period ago] we [met/achieved significant milestone].

I admire [Person’s Name] for their [three personal qualities].

They're the real deal and are destined for great things.

In fact, they [list some of their notable solo accomplishments/things they’re working on].

I’m proud to call them a friend.

[Show gratitude for/endorse person]

Definitely check them out and follow their work.

[Personal sign-off]

[Image that matches the post]",https://framerusercontent.com/images/fHebzdqNUjejjUgvtBhf5Ed9tU.png,https://www.linkedin.com/posts/jessievanbreugel_i-met-a-celebrity-yesterday-or-an-influencer-activity-6963390948890271744-EXJU?utm_source=share&utm_medium=member_desktop
"To sell more, acknowledge and resolve objections
","Post, Text, Image, Challenging Objections, AI Benefits","“I don’t want [common fear or misconception].”

[Reassure reader]

Many [target audience] think [new development in technology/method] will [lead to negative outcome]. 

But don’t worry.

Because [provide a new way to think about it].

- [Briefly explain relevant feature]
- [Briefly explain relevant feature]
- [Briefly explain relevant feature]

And it [unlocks benefit].

[List more relevant benefits]

[State high-level desirable outcome(s)]

Smart [professionals/role] like [Name 1] and [Name 2] are getting involved.

They're using [Product Name] to [carry out action/achieve desirable outcome].

[Relevant thought-provoking question/Call to action]

[Image that matches the post]",https://framerusercontent.com/images/nPzvEOUb052DxyQS9s9k3F2foJw.png,https://www.linkedin.com/posts/jodie-cook_i-dont-want-to-be-a-robot-you-wont-be-activity-7183456144655335426-DFzH?utm_source=share&utm_medium=member_desktop
Can you tell WHY this post went viral?,,"The difference between [strategy A] and [strategy B] is: 

[Key negative outcome associated with strategy B that’s often overlooked].

For [strategy A], you get [summarise key advantage].

[Share practical takeaway].",https://framerusercontent.com/images/PgMq7bG2ptjsq7PkHo27pQU8eSA.png,https://www.linkedin.com/posts/peeplaja_the-difference-between-social-content-eg-activity-7035233149219475456-FcVC?utm_source=share&utm_medium=member_desktop
How to use analogies to make your point,"Post, Text, Challenging Expoitative prctice, Alternative Solution, Disputing Common Justification  ","“[Common but controversial business practice posed as a statement by uninformed culprit]”

Wait a minute.

You would never [example of unfair practice occurring in another domain where it’s not the norm].

You would [list usual, fair behaviours].

Why then do we see this as acceptable in [industry/field]? 

Instead of [unfair practice], let’s focus on:

- [Alternative method/step 1]
- [Alternative method/step 2]
- [Alternative method/step 3]
- [Alternative method/step 4]

[Highlight how the culprit may justify unfair practice] [then briefly dispute this justification].

[Concluding statement/takeaway]",https://framerusercontent.com/images/WGoPVavdVQ0olaZF4sZVaPwgLw.png,https://www.linkedin.com/posts/grace-r-hall_selfemployment-b2b-freelancing-activity-6886605366226944000-GKrm?utm_source=share&utm_medium=member_desktop
Boost your credibility and relatability with shared experiences,"Post, text, Image, Online Entrepreneurs, Productised services","Many [target audience] start [at common starting point]. 

And that makes sense. 

But [outline common growth challenge].

This happens because [reason for challenge]. 

You may find yourself [engaging in problematic actions], which [result in negative outcome].

But there's a better way: [proposed solution]. 

[Briefly define the solution].

For example, take [share a real-life example].

[Thought-provoking question for audience]?

[Related text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/Dskbq4jE3y2BgbA9AbfWiog.png,https://www.linkedin.com/posts/justinwelsh_a-lot-of-online-entrepreneurs-start-their-activity-7193444789185331201-zIG-?utm_source=share&utm_medium=member_desktop
The problem with attention-grabbing phrases,"Post, Text, Image, Common Trends, Hot Takes, Authentic Solution","[Pose a common concern as a question]?

- [Problematic trend 1]
- [Problematic trend 2]
- [Problematic trend 3]

[Briefly give your point of view]

So rather than [conduct misguided behaviour], [list recommended behaviours/strategies].

Doing so will [unlock these benefits].

This approach is [name or define approach/strategy].

For a step-by-step breakdown, check out my latest [content medium – e.g. newsletter].

Link in the comments.

",https://framerusercontent.com/images/N0WAQi3rkmo36RjepsxRatC6zw.png,https://www.linkedin.com/posts/amandanat_contentmarketing-marketing-organicmarketing-activity-7099404788823465986-3wds?utm_source=share&utm_medium=member_desktop
The power of repeating yourself over and over and over again,"Post, Text, Image, Challenging Common Beliefs, Achieving Realistic Goals","I [achieved goal Y] without [common pre-requisite 1].  
I [achieved goal Y] without [common pre-requisite 2].  
I [achieved goal Y] without [common pre-requisite 3].  
I [achieved goal Y] without [common pre-requisite 4].  
I [achieved goal Y] without [common pre-requisite 5].  

To [achieve goal Y], all you really need to do is:

1. [Core action 1 for achieving goal].  
2. [Core action 2 for achieving goal].  
3. Rinse and repeat (many times).

Everything else is just a distraction.

[Image that matches the post]",https://framerusercontent.com/images/0IaHMs3rgi13gUSu7YAQizc5X0.png,https://www.linkedin.com/posts/alexhormozi_alexhormozi-acquisition-sales-activity-7191112066408054785-sVhA?utm_source=share&utm_medium=member_desktop
Remember to document your journey,"Post, Text, Image, Career Milestones, Career Struggles, Harsh Truth, ","[Contrast a personal achievement with a prior struggle 1]

[Contrast a personal achievement with a prior struggle 2]

[Contrast a personal achievement with a prior struggle 3]

[Share a key takeaway or motivational insight based on your experiences]

P.S. [Call to action]

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/tKdlG9OOrffMtk5XV2YLLWg.png,https://www.linkedin.com/posts/charlesmiller-pbb_times-this-has-happened-in-my-career-1-activity-7198288708075225089-IYZB?utm_source=share&utm_medium=member_desktop
Why 3 is the magic number,"Post, Text, Image, Great Managers, Key Managerial Traits ","Ever had a [role A] who felt more like a [role B]?

For them, it’s not just about [expected value]. It’s also about:

[Additional value 1]

[Additional value 2]

[Additional value 3]

Here’s how they do it:

They [positive trait or action with explanation 1]

They [positive trait or action with explanation 2]

They [positive trait or action with explanation 3]

They [positive trait or action with explanation 4]

They [positive trait or action with explanation 5]

[Summarise their positive actions on you or the business]

P.S. Does this remind you of any [role A]s?

Mention them in the comments.

[Call to action]

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/Ilqo5G7KH0U1OnQGXiF0XKFNxKc.png,https://www.linkedin.com/posts/eric-partaker-5560b92_ever-had-a-manager-who-felt-more-like-a-coach-activity-7198297244029071360-G2Se?utm_source=share&utm_medium=member_desktop
Borrow credibility to get attention,"Post, Text, Borrowing Credibility, Common Problem, Actionable Advice","[Topic] advice from [Authoritative figure]:

[Direct quote or lesson]

This also applies to [field/industry/group/context].

[Share a problematic practice from that field/industry/group/context to illustrate the point]

[Example 1]

[Example 2]

[Example 3]

[Example 4]

[Offer an actionable takeaway]",https://framerusercontent.com/images/aNkSKC7lIetjoyOagAeZxeQ4U.png,https://www.linkedin.com/posts/liz-willits_writing-advice-from-stephen-king-i-believe-activity-7069682215122558976-6lZP?utm_source=share&utm_medium=member_desktop
Why being vulnerable is relatable,"Post, Text, Image, Sharing Struggles, Actionable Advice","I’ve been in [engaging in new action] for [time period] and I [vulnerable admission].

[Briefly describe the struggle/challenge faced].

But recently I realised:

[Share a realisation or turning point].

[Acknowledge you still struggle].

Here’s what I do when I [encounter struggle]:

[Action 1]

[Action 2]

[Action 3]

[Share a final thought or reflection]

[End with an encouraging message]

[Image that matches the post]",https://framerusercontent.com/images/fZYEK1HbCfPoX0ciTqUMYa55PY.png,https://www.linkedin.com/posts/activity-7193874766406057984-rgLg?utm_source=share&utm_medium=member_desktop
Reinforce what people already believe,"Post, Text, Traits Of Valuable Assets, ","The most important [specific asset/trait/quality] any [target audience] can have is an [asset/person/team/strategy/tool] who/that [prioritises desirable trait/quality].

[Key quality or action 1]

[Key quality or action 2]

[Key quality or action 3]

[Key quality or action 4]

[Key quality or action 5]

[Summarise the advantage or importance of having such an asset/person/team/strategy/tool].

",https://framerusercontent.com/images/7r0UKVKm8B5GqaxrbfsUbGuGtB0.png,https://www.linkedin.com/posts/jbonini_the-most-valuable-asset-any-marketing-team-activity-7191074102047125505-rBmx?utm_source=share&utm_medium=member_desktop
The pain of losing > The pleasure of gaining,"Post, Text, Loss Aversion, Solution, Actionable Advice","[Potential threat/negative action 1]

[Related potential threat/negative action 2]

[Related potential threat/negative action 3]

But here’s the thing:

[Eye-opening way to avoid/mitigate these negative outcomes]

[Actionable tip/takeaway]",https://framerusercontent.com/images/RtvNNH1wzXYeFhJr0PdPO93iT9Y.png,https://www.linkedin.com/posts/jakezward_linkedin-can-ban-your-account-tiktok-can-activity-7034869546150690816-ORb2?utm_source=share&utm_medium=member_desktop
How to get people to take action!,"Post, Text, Image, Building Credibility, 80/20 Rule, Actionable Steps, ","I’ve worked with [impressive number] of [relevant professionals/clients].

Here’s how they [achieve desirable outcome]:

[Summarise key principle or rule].

[Actionable step]

[Actionable step]

[Actionable step]

[Actionable step]

This is how you [reach specific goal] without [common pre-requisite].

If you want [benefit A], then [take action A]

If you want [benefit B], then [take action B]

If you want [benefit C], then [take action C]

Simple, effective, repeatable.

Apply these steps for [time period], and watch what happens.

[Personal anecdote/sign-off]

[Relatable text image to act as a ‘billboard’ for your post]",https://framerusercontent.com/images/oLoIIN0JepPvI7cY0tKT9YpBq8s.png,https://www.linkedin.com/posts/laraacostar_ive-worked-with-100-ceos-entrepreneurs-activity-7201183263749533696-VSYA?utm_source=share&utm_medium=member_desktop
